guiltyid,levelofcrime,typeofcrime
58428,colleague,type3
61733,colleague,type3
85462,colleague,type3
6281,colleague,type3
26416,colleague,type3
49391,colleague,type3
63679,colleague,type3
56410,colleague,type3
9277,colleague,type3
29754,colleague,type3
26579,colleague,type3
26448,colleague,type3
8654,colleague,type3
52096,colleague,type3
99754,colleague,type3
14613,colleague,type3
24405,colleague,type3
20261,colleague,type3
15988,colleague,type3
59891,colleague,type3
78832,colleague,type3
9614,colleague,type3
88290,colleague,type3
77370,colleague,type3
58669,colleague,type3
728,colleague,type3
64353,colleague,type3
17894,colleague,type3
40237,colleague,type3
58854,colleague,type3
56874,colleague,type3
52734,colleague,type3
32713,colleague,type3
71486,colleague,type3
20358,colleague,type3
77549,colleague,type3
92740,colleague,type3
37414,colleague,type3
48631,colleague,type3
58492,colleague,type3
71160,colleague,type3
57896,colleague,type3
22313,colleague,type3
80105,colleague,type3
76977,colleague,type3
90128,colleague,type3
41512,colleague,type3
69445,colleague,type3
99359,colleague,type3
89799,colleague,type3
8439,colleague,type3
60722,colleague,type3
59359,colleague,type3
56249,colleague,type3
60661,colleague,type3
6752,colleague,type3
73912,colleague,type3
65179,colleague,type3
14146,colleague,type3
14092,colleague,type3
862,colleague,type3
28267,colleague,type3
51514,colleague,type3
14126,colleague,type3
53999,colleague,type3
95231,colleague,type3
25156,colleague,type3
95979,colleague,type3
71687,colleague,type3
66923,colleague,type3
5780,colleague,type3
84359,colleague,type3
82135,colleague,type3
15214,colleague,type3
4986,colleague,type3
89938,colleague,type3
